,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022021500334,2022-02-16 05:15:05.733902,59626.218816364606,30.0,221.936174713928,-44.8730643447422,1.71351189422244,349.630286686246,126.00481503127999,35.625101832964,221.93595875,-44.87299225,30.0,-94.1500015258789,,SDSSg,35.625101832964,35.7213940306538,126.00481503128,125.985544253577,221.933209990623,-44.863406737731964,0.17788339829805327,-0.5794564206136,0.7292902425597837,-0.033826339489111075,0.5930124481751513
2022021500335,2022-02-16 05:15:38.543128,59626.21919610102,30.0,221.936076864035,-44.873010796867,1.70954876813925,349.630189508424,125.985544253577,35.7213940306538,221.93595875,-44.87299225,30.0,-94.1500015258789,,SDSSg,35.7213940306538,35.8176272197743,125.985544253577,125.966516662826,221.93322150935373,-44.863450469477556,0.17132128087355913,-0.5736196433670535,0.7221058045640114,-0.031023990669831487,0.5863296744844543
2022021500338,2022-02-16 05:20:47.760507,59626.22277500587,30.0,222.009270758352,-45.0600157192159,1.67418008163207,350.699589733892,126.05594285248701,36.6013096853276,222.0088625,-45.0604323888889,30.0,-94.1500015258789,,SDSSg,36.6013096853276,36.6976550801774,126.055942852487,126.039128084172,222.0037758337955,-45.05354428596872,0.32969547339016597,-0.3882859948310311,0.5200617451738155,-0.17648766817585476,0.4527779208309796
2022021500339,2022-02-16 05:21:20.658143,59626.22315576555,30.0,222.009106920913,-45.0604217236697,1.67042253516855,350.698014713375,126.039128084172,36.6976550801774,222.0088625,-45.0604323888889,30.0,-94.1500015258789,,SDSSg,36.6976550801774,36.7939387842198,126.039128084172,126.022019166936,222.00392567449623,-45.05350513258622,0.3108747850055519,-0.41499546500877876,0.551124158071006,-0.16027357354123342,0.4695175387827107
2022021500344,2022-02-16 05:24:43.154545,59626.2254994739,30.0,220.816953192335,-44.7822100935099,1.61840839227778,352.823543749568,125.454126228084,38.0884551092022,220.815876666667,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,38.0884551092022,38.1856199189206,125.454126228084,125.435125459422,220.8111385869115,-44.77210427933459,0.34887632540734514,-0.606348850518921,0.8035472104993436,-0.1736504823827642,0.6549730209898788
2022021500345,2022-02-16 05:25:15.996716,59626.22587959162,30.0,220.816093527222,-44.7792730369105,1.61496477897556,352.819169891819,125.43512545942201,38.1856199189206,220.815876666667,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,38.1856199189206,38.2825688107987,125.435125459422,125.420094807138,220.81120672986998,-44.77213318776618,0.29320784111770143,-0.42839094865961136,0.5732020900354521,-0.15629941533195657,0.476278040598818
2022021500350,2022-02-16 05:28:37.802078,59626.22821530183,30.0,220.950357630049,-44.7817613322798,1.5973861627416,353.079468204793,125.36248811006999,38.6848997159832,220.948180833333,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,38.6848997159832,38.7830144747131,125.36248811007,125.34500636578,220.9434343887078,-44.772130594119254,0.4153944804702948,-0.5778442896327987,0.7783798650457151,-0.22967474789004916,0.6487311110981043
2022021500351,2022-02-16 05:29:10.610417,59626.22859502798,30.0,220.94842517796,-44.7792994599198,1.59405479538003,353.075991977711,125.34500636577998,38.7830144747131,220.948180833333,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,38.7830144747131,38.880105523669,125.34500636578,125.330987353314,220.94339548146758,-44.772117538165126,0.30178178954585655,-0.43091530528040484,0.5801283158377939,-0.1663337965199151,0.4812282560262744
2022021500356,2022-02-16 05:32:47.651421,59626.23110707663,30.0,221.080800229288,-44.7796121369588,1.57557295184402,353.545586394074,125.26893623589402,39.3280876263016,221.080485,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,39.3280876263016,39.4252148850792,125.268936235894,125.255497921695,221.07579125618093,-44.772093236282565,0.30053838642276,-0.4511340405750007,0.608681780426863,-0.1673701972002142,0.4990360049040608
2022021500357,2022-02-16 05:33:20.577237,59626.23148816246,30.0,221.080769253413,-44.779271283398,1.57233758758622,353.545735268347,125.255497921695,39.4252148850792,221.080485,-44.7792708333333,30.0,-94.1500015258789,,SDSSg,39.4252148850792,39.5223747773998,125.255497921695,125.242670257081,221.07573944874005,-44.77207514060077,0.3017882803750327,-0.4317685678345463,0.5843201639314344,-0.1708796693875578,0.4819945648066097
