,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022031600240,2022-03-17 00:50:58.033383,59655.035393904895,30.0,53.5137089045414,-27.3336542062855,1.70580166727038,24.1237337026792,256.419134814088,35.8254945858498,53.5135133333333,-27.3337106388889,30.0,-94.1500015258789,,SDSSr,35.8254945858498,35.7098618730088,256.419134814088,256.369682926481,53.52281421841786,-27.326193400412052,-0.546318832587882,-0.4476483524073773,-0.7147729498953476,-0.3126487812175539,0.6602586138854493
2022031600243,2022-03-17 00:52:45.206742,59655.03663433729,30.0,52.8791674681653,-27.333669606139,1.74411168240187,24.4778063033298,256.032372344082,34.9182798548718,52.8789658333334,-27.3337106388889,30.0,-94.1500015258789,,SDSSr,34.9182798548718,34.802809862711,256.032372344082,255.982846695726,52.88840135761014,-27.326243860316335,-0.5540333666919346,-0.44554474935986416,-0.7090096436997211,-0.3170292602130491,0.6638989230949858
2022031600257,2022-03-17 01:03:41.990263,59655.044235998415,30.0,53.1973891565217,-27.3315325397229,1.83797364432127,25.0881252978761,255.16036026619298,32.8881422265549,53.1962395833333,-27.3337106388889,30.0,-94.1500015258789,,SDSSr,32.8881422265549,32.7729538663407,255.160360266193,255.107767958863,53.205482541976934,-27.32539347810294,-0.4856031273152762,-0.3683436971980461,-0.5857976803037112,-0.27983197026762036,0.5672627415348717
2022031600258,2022-03-17 01:04:14.816656,59655.04461593352,30.0,53.1963860155143,-27.3336338073426,1.84366776607551,25.0863570371291,255.107767958863,32.7729538663407,53.1962395833333,-27.3337106388889,30.0,-94.1500015258789,,SDSSr,32.7729538663407,32.6579385086079,255.107767958863,255.057877530082,53.20555598580773,-27.325464626411115,-0.5501982176064631,-0.4901508558890615,-0.744232390319193,-0.29181431017159015,0.6922131438160496
2022031600259,2022-03-17 01:06:24.810425,59655.04612049103,30.0,196.362285958067,-89.896741588586,1.9784078870797,359.990882409238,179.93896224018,30.2714010163327,196.36363625,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.2714010163327,30.2713929697056,179.93896224018,179.938845117053,191.85799452893562,-89.89489539185512,270.25748574788093,-0.11077180385192822,-0.03420103498746918,-0.5027115321775099,0.5035996174628959
2022031600260,2022-03-17 01:06:57.850492,59655.046502899204,30.0,196.363687446998,-89.8967389264891,1.97840825146083,359.988865768167,179.938845117053,30.2713929697056,196.36363625,-89.8967385833333,30.0,-94.1500015258789,,SDSSr,30.2713929697056,30.2713898404618,179.938845117053,179.938740957936,191.90533816974354,-89.89486635768999,267.50095663526616,-0.11235412794596794,-0.032004775997566695,-0.4983539659405593,0.49914067970068643
2022031600261,2022-03-17 01:07:38.936480,59655.04697843148,30.0,196.364564138697,-89.896731477383,1.97840868770915,359.987959071587,179.938695360383,30.2713858171483,196.36363625,-89.8967385833333,30.0,-94.1500015258789,,SDSSg,30.2713858171483,30.2713813467999,179.938695360383,179.938591648301,191.95765605674163,-89.89490197698113,264.41448491731984,-0.10977002411338778,-0.03448450232140562,-0.4921123776104895,0.4930334576149161
2022031600262,2022-03-17 01:08:11.681660,59655.04735742662,30.0,196.362782761808,-89.8967393696601,1.97840901702772,359.98962617064,179.938591648301,30.2713813467999,196.36363625,-89.8967385833333,30.0,-94.1500015258789,,SDSSg,30.2713813467999,30.2713741942425,179.938591648301,179.938483912905,191.9738207350596,-89.8947862993375,263.3377216049048,-0.11718421935665066,-0.026989434932074986,-0.4925029656930299,0.4930745042680605
2022031600263,2022-03-17 01:08:52.879130,59655.0478342492,30.0,196.361776114795,-89.8967390692295,1.97840941410129,359.99044685231,179.938450832327,30.2713764294022,196.36363625,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.2713764294022,30.2713688298245,179.938450832327,179.938340861758,191.81147832892717,-89.8947145905068,273.01786715207027,-0.1214687233621471,-0.03068501213097585,-0.5106420071735635,0.5113503587911412
2022031600264,2022-03-17 01:09:25.651561,59655.04821355974,30.0,196.362665389453,-89.8967426114005,1.97840971540319,359.989550982423,179.938340861758,30.271368829824496,196.36363625,-89.8967385833333,30.0,-94.1500015258789,,SDSSi,30.2713688298245,30.2713643594761,179.938340861758,179.938224185666,191.8011034124104,-89.89465887817272,273.6937186225525,-0.12502399366750097,-0.028665520723706765,-0.5128996290324019,0.5135178881708443
