,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022040500284,2022-04-06 02:20:01.427702,59675.09723874655,30.0,222.02502535461,-45.7167376813399,1.59566638135146,346.955751469612,126.557883847941,38.736182211258,222.024654583333,-45.7164439722222,30.0,-94.1500015258789,,SDSSi,38.736182211258,38.8318695708149,126.557883847941,126.545107145299,222.02269253301915,-45.70612990559925,0.13996929544915007,-0.6364665444388077,0.8254785436381985,-0.03528906819655846,0.6439271116792565
2022040500285,2022-04-06 02:20:34.354041,59675.09761983843,30.0,222.024829326759,-45.7164795548147,1.59226997584588,346.954988873976,126.54472224830499,38.8347524984711,222.024654583333,-45.7164439722222,30.0,-94.1500015258789,,SDSSi,38.8347524984711,38.9273521884315,126.544722248305,126.532830227603,222.0226065152497,-45.706038677501084,0.13336869055788655,-0.6264526388161153,0.8131340202386337,-0.03268158893586908,0.6333369782331075
2022040500286,2022-04-06 02:21:15.265733,59675.098093353394,30.0,222.024947386928,-45.7164564414862,1.58832292520844,347.136989528613,126.529874433269,38.9505175336235,222.024654583333,-45.7164439722222,30.0,-94.1500015258789,,SDSSg,38.9505175336235,39.0462200923794,126.529874433269,126.517847408046,222.02291541057292,-45.70602568273238,0.12191858130534212,-0.6258455252299245,0.812667256045325,-0.026026719941665284,0.6316092103292462
2022040500287,2022-04-06 02:21:48.112382,59675.098473522936,30.0,222.024800801397,-45.7164761034612,1.58508966522364,347.138130723138,126.51784740804601,39.0462200923794,222.024654583333,-45.7164439722222,30.0,-94.1500015258789,,SDSSg,39.0462200923794,39.1418037398835,126.517847408046,126.505974162807,222.02287669965668,-45.70603748338776,0.11544610441618597,-0.6263172044057542,0.8137803737548537,-0.022486071378473017,0.6314837374384276
2022040500288,2022-04-06 02:22:29.813459,59675.09895617429,30.0,222.024808242606,-45.7164682914927,1.58098817622222,347.635276814633,126.50314577339999,39.1649896486633,222.024654583333,-45.7164439722222,30.0,-94.1500015258789,,SDSSr,39.1649896486633,39.2605983301037,126.5031457734,126.491518844356,222.02280082497907,-45.70603062447289,0.12044505761414145,-0.6262600211890913,0.8154564526169474,-0.02724145894798946,0.6318821516837142
2022040500289,2022-04-06 02:23:02.555382,59675.09933513174,30.0,222.024843344124,-45.7164721299495,1.57779321639384,347.635267394944,126.491518844356,39.2605983301037,222.024654583333,-45.7164439722222,30.0,-94.1500015258789,,SDSSr,39.2605983301037,39.3562065645237,126.491518844356,126.480063576688,222.0228854836304,-45.70604086031152,0.11747162961303016,-0.6258761782787055,0.8157742823395002,-0.026208858096851056,0.6312285601213214
2022040500290,2022-04-06 02:23:46.947954,59675.09984893465,30.0,221.141136090838,-44.8730996460176,1.55572018882006,351.738988648102,125.313723762025,39.9337161167641,221.140964166667,-44.87299225,30.0,-94.1500015258789,,SDSSr,39.9337161167641,40.0278111382358,125.313723762025,125.302266259197,221.1399902572653,-44.862437029813854,0.06875001435711497,-0.6397569722247166,0.8379866848333439,0.008117529258149979,0.6416098300484403
2022040500291,2022-04-06 02:24:19.890923,59675.10023021902,30.0,221.141196865339,-44.8730150646421,1.55259009229254,351.739000558194,125.30226625919701,40.0278111382358,221.140964166667,-44.87299225,30.0,-94.1500015258789,,SDSSr,40.0278111382358,40.1249759479542,125.302266259197,125.290739912976,221.13999723149107,-44.862396575536216,0.07197803087344597,-0.6371093463526387,0.836007354554151,0.0046024529213715215,0.6391484178138219
2022040500292,2022-04-06 02:25:01.109142,59675.10070728174,30.0,221.141205015899,-44.873011261818,1.54871035459805,351.993880944519,125.287630785693,40.151381848671,221.140964166667,-44.87299225,30.0,-94.1500015258789,,SDSSg,40.151381848671,40.2484796031495,125.287630785693,125.276349414577,221.14025574983066,-44.862376755794706,0.0569559640992937,-0.638070361397129,0.8375829304872052,0.014036571956607997,0.6393459688570754
2022040500293,2022-04-06 02:25:33.953761,59675.10108742779,30.0,221.141237307806,-44.8730192555851,1.54564058072166,351.993918585364,125.27634941457698,40.2484796031495,221.140964166667,-44.87299225,30.0,-94.1500015258789,,SDSSg,40.2484796031495,40.3427105232258,125.276349414577,125.265566040267,221.140220074075,-44.862381390871576,0.06103402386002593,-0.6382718828123077,0.8393915440597886,0.010170864734814575,0.6397360189868928
2022040500294,2022-04-06 02:26:16.279214,59675.10157730572,30.0,221.487032753541,-45.7167600423085,1.54723444421426,352.870263559536,126.38893686651099,40.197043774926,221.48673875,-45.7164439722222,30.0,-94.1500015258789,,SDSSg,40.197043774926,40.2928639038582,126.388936866511,126.378938038339,221.4858649899124,-45.706047006850554,0.07006581771254093,-0.6427821274762436,0.8452710870968704,-0.0018738883306542715,0.6446413922055695
