,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,RA_WCS,DEC_WCS,dRA,dDEC,dAZ,dEL,PNT_OFFSET
2022121200532,2022-12-13 04:27:58.173509,59926.18608997117,30.0,89.45620690167355,-53.01395014541143,1.0968314619576167,0.0063390385794174,162.67783187743044,65.71803679903678,89.45595833333334,-53.01394722222222,30.0,-94.15,-90.4684,SDSSr_65mm,89.4571309131222,-53.01440457463343,-0.0554406869197945,0.0272657533204044,0.0455497943302803,0.0388010009187625,0.0430803440598663
2022121200618,2022-12-13 05:25:16.167001,59926.22588156252,30.0,89.61449569826058,-52.73185747010413,1.0823107135614984,0.000254909322351,183.8501951887738,67.48919910033874,89.61433333333336,-52.73187222222223,30.0,-94.15,-90.458,SDSSg_65mm,89.61249217975721,-52.73160811149689,0.1202111102006091,-0.0149615164336329,-0.192652247680369,-0.0074034353911532,0.0743152087865343
2022121200670,2022-12-13 05:59:01.612002,59926.249324212986,30.0,89.77066556661329,-52.54384249757288,1.0911432751801629,0.0007197808773871,196.4062302603852,66.3938309832447,89.77037500000002,-52.54382222222222,30.0,-94.15,-90.4791,SDSSr_65mm,89.7690245883983,-52.54280449986142,0.0984586928989038,-0.0622798626875198,-0.1990339264532453,-0.0325119476114372,0.0863958843163335
2022121200751,2022-12-13 06:51:38.425994,59926.28586141197,30.0,90.08092585747868,-52.82591625243669,1.1361406614452343,0.0019165594336085,210.56060977721063,61.63859671195677,90.0807916666667,-52.825897222222224,30.0,-94.15,-90.4431,SDSSr_65mm,90.0804117387111,-52.82403709216802,0.0308471260534364,-0.112749616119545,-0.1991056029908135,-0.0634099607607019,0.1142799386327246
2022121200685,2022-12-13 06:08:51.123998,59926.25614726849,30.0,90.23954171421332,-53.20200847622142,1.1006679339328949,0.0008265185295028,198.3674029305112,65.28220867952041,90.23925,-53.202000000000005,30.0,-94.15,-90.5134,SDSSi_65mm,90.23824933251538,-53.200780789330246,0.0775429018757404,-0.0736612134704523,-0.1788630785793405,-0.044051109006118,0.0870829436683788
2022121200542,2022-12-13 04:34:28.668509,59926.19060958922,30.0,89.76894567098977,-53.01393717968697,1.0940879640741437,359.9990620129429,164.45257313962793,66.03989964563516,89.76870833333335,-53.01394722222222,30.0,-94.15,-90.4923,SDSSg_65mm,89.76969436362204,-53.01438636202679,-0.0449215579379812,0.0269509403892075,0.0364040503747215,0.0351902361365531,0.038167214359831
2022121200604,2022-12-13 05:14:41.182006,59926.21853219914,30.0,89.76964911851137,-52.82589669347621,1.08248760640069,359.9998930557422,179.41898920055246,67.466014085614,89.76937500000004,-52.825897222222224,30.0,-94.15,-90.4157,SDSSr_65mm,89.76957567220461,-52.825792033291215,0.0044067784043391,-0.0062796110998619,-0.0068111486898477,-0.0062995718064779,0.0068208325787193
2022121200525,2022-12-13 04:23:20.196494,59926.1828726446,30.0,89.29978424236843,-53.01395448259864,1.0991496702017942,359.99885101876635,161.36799656267976,65.45067867478065,89.29954166666668,-53.01394722222222,30.0,-94.15,-90.4445,SDSSg_65mm,89.30091354961995,-53.01460136318889,-0.0677584350910111,0.0388128354156701,0.0450816581098019,0.0530841880093331,0.0562866357703181
2022121200540,2022-12-13 04:33:11.640009,59926.18971805566,30.0,89.76900186771483,-53.01392976555814,1.0947275106993954,359.99900322703326,164.01501767750597,65.96449068030051,89.76870833333335,-53.01394722222222,30.0,-94.15,-90.4642,SDSSi_65mm,89.76992249784062,-53.01431150464622,-0.0552378075491106,0.0229043452854747,0.0532160319209026,0.034053085040876,0.0403606176716635
2022121200755,2022-12-13 06:54:14.959498,59926.28767314233,30.0,90.23676992922104,-52.82589094936904,1.1385139802321222,0.0017258107536941,210.99046640540476,61.41714817126922,90.2365,-52.825897222222224,30.0,-94.15,-90.3936,SDSSg_65mm,90.23604459166611,-52.82405262887697,0.0435202532943597,-0.1102992295237412,-0.2064016976522066,-0.0548160693402209,0.1133907515285801
