,dT,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes,UTC
292,0,0.0,0.0,0.0,0.0,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:37:22
293,9,-0.03458160692844103,-0.03314015688431482,244.2157362875605,82.14120521639643,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:37:31
294,18,-0.3933612290552446,-0.07867508303718296,487.69010530935475,163.62488594013485,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:37:40
295,0,0.0,0.0,0.0,0.0,228.14908991635713,-38.73328942853109,140.75468786237258,78.51001010682583,4,2023-03-17 07:38:01
296,9,-1.5671738260266466,-1.0823268875441272,381.54926361096386,73.05240335280132,228.14908991635713,-38.73328942853109,140.75468786237258,78.51001010682583,4,2023-03-17 07:38:10
297,18,0.0045504422246267495,0.2616422395732343,748.8868900718103,146.29273788590353,228.14908991635713,-38.73328942853109,140.75468786237258,78.51001010682583,4,2023-03-17 07:38:19
298,78,-1.0912643675737854,0.4872287822990984,2147.9166758270594,710.591311214472,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:38:40
299,87,-0.961955941488668,0.6144880502290562,2398.1598111894186,791.6042912846137,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:38:49
300,96,-0.8561339645666521,0.4437731602479289,2647.7768834845847,871.5507839127042,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:38:58
301,117,12221.676010515375,-8434.533243330012,6736.184985175214,-11370.987919977217,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:39:19
302,126,12221.555075681772,-8434.696995799157,6930.1494937046755,-11292.166114987685,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:39:28
303,135,12221.50829009729,-8434.589969954919,7123.575114886182,-11213.426731225656,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:39:37
304,156,-0.9263122511470101,1.1702697268844986,4355.69077318919,1411.5404428016404,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:39:58
305,165,-1.0316050591427484,1.148319456828517,4613.8184182124405,1491.4440360567426,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:40:07
306,174,-1.2187870551770175,1.2204926343684974,4870.763097270992,1570.74785385239,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:40:16
307,195,-3014.589877182368,-12381.134516704176,44444.23973352468,-5429.830241085387,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:40:37
308,204,-3014.1104254772017,-12380.669428429443,44705.76740588943,-5368.038071728165,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:40:46
309,213,-3013.6168655042525,-12380.945898036125,44970.57520381497,-5306.713313714034,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:40:55
310,235,-1.1768505819645725,1.666691030411016,6671.68123734366,2115.989450793677,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:41:17
311,244,-1.2256953851874641,1.6609043950097657,6936.225262588676,2194.4529697371536,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:41:26
312,253,-1.4295093982013896,1.6317307341722653,7201.146082567448,2272.61006569222,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:41:35
313,275,11401.140741858137,9096.998646901253,-41657.318373971546,-117.5718667949127,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:41:57
314,284,11401.27970186943,9097.035569208614,-41484.84724375,-21.85831045278519,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:42:06
315,293,11401.233492340043,9097.535233012783,-41311.79786849874,74.80057047559399,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:42:15
316,315,-1.7994921671288466,1.921485408826129,9088.396485292356,2819.34108121867,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:42:37
317,324,-1.8513934037173385,1.706310893717955,9361.229998462613,2896.447485592995,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:42:46
318,333,-2.0639338054820655,1.750242793704615,9635.27549977605,2973.9118403936627,232.37392104956857,-40.07293011514318,135.3025653098337,75.0807224207763,6,2023-03-17 07:42:55
319,315,3380.8474169819533,3938.3242413026665,-10943.68021624225,3513.7071652763043,228.14908991635713,-38.73328942853109,140.75468786237258,78.51001010682583,4,2023-03-17 07:43:16
320,324,3380.65693017237,3938.3038037610363,-10550.45790907916,3591.163135952678,228.14908991635713,-38.73328942853109,140.75468786237258,78.51001010682583,4,2023-03-17 07:43:25
321,333,3380.655893418327,3938.602210641119,-10156.022066383013,3668.816577573864,228.14908991635713,-38.73328942853109,140.75468786237258,78.51001010682583,4,2023-03-17 07:43:34
